index,frame,F11,F12,F21,F22,P11,P12,P21,P22,vol_square,vol_rectangle_p,vol_rectangle_m,vol_tot,Psi,Psi_me,Psi_couple,len_c,len_s_r_p,len_s_r_m
51,000,1.0010000000e+00,4.5322618231e-03,-4.3896171726e-03,1.0006934000e+00,9.1113504016e-02,-1.8722297901e-04,7.2487780914e-05,1.1373657622e-01,6.3138631687e-01,1.9001286008e-01,1.7860082305e-01,1.0000000000e-04,1.4145683626e+00,-7.9232652568e-03,-1.9360317376e-02,0.10841399829813647,0.06605848446489267,0.0718068108281469
52,000,1.0010000000e+00,4.5102441563e-03,-4.3524309332e-03,1.0006934000e+00,9.3344287985e-02,-2.0086604265e-04,8.2272384119e-05,1.1242055785e-01,6.2962105624e-01,1.9084533608e-01,1.7953360768e-01,1.0000000000e-04,1.4082158137e+00,-8.0393021050e-03,-1.9613130425e-02,0.10814786811842564,0.06397794776673393,0.07027130365718176
53,000,1.0010000000e+00,4.4040861300e-03,-4.1958458059e-03,1.0006934000e+00,8.8167681590e-02,-1.8942148476e-04,9.2224239445e-05,1.1861580117e-01,6.2873542524e-01,1.9320473251e-01,1.7805984225e-01,1.0000000000e-04,1.4019505911e+00,-8.1716418406e-03,-1.9898261364e-02,0.10732602662142507,0.06381213474035441,0.07000252585620036
54,000,1.0010000000e+00,4.3814110941e-03,-4.1438544356e-03,1.0006934000e+00,8.7986259507e-02,-1.4755727738e-04,1.0656777493e-04,1.1934422960e-01,6.2804869684e-01,1.9357596022e-01,1.7837534294e-01,1.0000000000e-04,1.3957945223e+00,-8.2636696265e-03,-2.0110003232e-02,0.10669355522211574,0.061371413045164545,0.06960267004022484
55,000,1.0010000000e+00,4.3468333642e-03,-4.0958939016e-03,1.0006934000e+00,8.8933550030e-02,-6.5661866625e-05,1.2762816056e-04,1.1882040272e-01,6.2725908779e-01,1.9394204390e-01,1.7879886831e-01,1.0000000000e-04,1.3896874663e+00,-8.3490157011e-03,-2.0305468554e-02,0.10619929216953818,0.061156489503540565,0.06924658474110593
56,000,1.0010000000e+00,4.2915445864e-03,-4.0281910954e-03,1.0006934000e+00,8.9981019505e-02,-1.2840645987e-05,1.3383722779e-04,1.1839180093e-01,6.2717849794e-01,1.9372513717e-01,1.7909636488e-01,1.0000000000e-04,1.3836212194e+00,-8.4298361707e-03,-2.0490933141e-02,0.1053681764570736,0.06090233124410231,0.06882977383820338
57,000,1.0010000000e+00,4.2409409674e-03,-3.9886253876e-03,1.0006934000e+00,9.2687981705e-02,-1.0016338133e-05,8.8927466904e-05,1.1660139225e-01,6.2682698903e-01,1.9367283951e-01,1.7950017147e-01,1.0000000000e-04,1.3776063770e+00,-8.5081760900e-03,-2.0667285411e-02,0.10474030052177401,0.060925714518716846,0.0688341458738564
58,000,1.0010000000e+00,4.1933445104e-03,-3.9318370978e-03,1.0006934000e+00,9.4450071888e-02,-1.4889351708e-05,4.2387261252e-05,1.1574261968e-01,6.2671982167e-01,1.9350994513e-01,1.7977023320e-01,1.0000000000e-04,1.3716637951e+00,-8.5844487595e-03,-2.0844241908e-02,0.10416544735668584,0.06086658233537084,0.06860463644695977
59,000,1.0010000000e+00,4.1545324223e-03,-3.8907563647e-03,1.0006934000e+00,9.7372911552e-02,-1.9001579730e-05,1.8106737916e-05,1.1361228900e-01,6.2683470508e-01,1.9263203018e-01,1.8053326475e-01,1.0000000000e-04,1.3658106330e+00,-8.6596902409e-03,-2.1019197920e-02,0.10363236776108514,0.06079107600534022,0.06839776856012686
60,000,1.0010000000e+00,4.1054461237e-03,-3.8323368499e-03,1.0006934000e+00,9.8649788285e-02,-2.2438669230e-05,1.5550649818e-05,1.1301786792e-01,6.2693501372e-01,1.9255401235e-01,1.8051097394e-01,1.0000000000e-04,1.3600613179e+00,-8.7330011123e-03,-2.1189732797e-02,0.10313384390292876,0.06071457194272081,0.06847228440477823
61,000,1.0010000000e+00,4.0481325179e-03,-3.7646853460e-03,1.0006934000e+00,1.0006163027e-01,-2.6355787403e-05,2.3352482654e-05,1.1220631879e-01,6.2623885460e-01,1.9309070645e-01,1.8067043896e-01,1.0000000000e-04,1.3544243848e+00,-8.8047051286e-03,-2.1356035297e-02,0.10266832147318446,0.06059396337312093,0.0684561658157181
62,000,1.0010000000e+00,3.9608986857e-03,-3.6495242577e-03,1.0006934000e+00,1.0237713197e-01,-3.1237824679e-05,3.6443554035e-05,1.1044361060e-01,6.2613683128e-01,1.9231310014e-01,1.8155006859e-01,1.0000000000e-04,1.3489052643e+00,-8.8748699565e-03,-2.1518070928e-02,0.10222951692710892,0.06032455857306479,0.06842043726053718
63,000,1.0010000000e+00,3.5614420244e-03,-3.0611965080e-03,1.0006934000e+00,1.1124796252e-01,-3.8249376512e-05,6.2815472494e-05,1.0393961572e-01,6.2649862826e-01,1.8957475995e-01,1.8392661180e-01,1.0000000000e-04,1.3434919897e+00,-8.9527152610e-03,-2.1714581381e-02,0.10181397666959817,0.06103715633061741,0.06840881737514634
64,000,1.0010000000e+00,3.5279749812e-03,-3.1649419016e-03,1.0006934000e+00,1.2535646298e-01,-2.8973157248e-05,1.3758028165e-04,1.1297484388e-01,6.2657064472e-01,1.8954903978e-01,1.8388031550e-01,1.0000000000e-04,1.3382146998e+00,-9.0173205078e-03,-2.1914522336e-02,0.10142221704238656,0.061433375275628796,0.0682984039020879
65,000,1.0010000000e+00,3.3343215370e-03,-2.8984515994e-03,1.0006934000e+00,1.1568822495e-01,-2.8663126955e-05,1.1092091811e-04,8.9504875175e-02,6.2639489026e-01,1.8799382716e-01,1.8561128258e-01,1.0000000000e-04,1.3329996170e+00,-9.1252514210e-03,-2.2102808340e-02,0.10105315861648798,0.06271482461377488,0.06819171052190462
66,000,1.0010000000e+00,3.0841434461e-03,-2.5334881687e-03,1.0006934000e+00,1.2093160348e-01,-5.6014545703e-05,7.3104379414e-05,9.3789745463e-02,6.2578446502e-01,1.8690157750e-01,1.8731395748e-01,1.0000000000e-04,1.3279108114e+00,-9.2138618736e-03,-2.2295922977e-02,0.10071012324499855,0.06287148231547324,0.06839096543093935
67,000,1.0010000000e+00,2.7194769307e-03,-2.0340543864e-03,1.0006934000e+00,1.2973546436e-01,-6.2740494454e-05,6.1602054418e-05,8.5590663262e-02,6.2569530178e-01,1.8505315501e-01,1.8925154321e-01,1.0000000000e-04,1.3229200239e+00,-9.3007492121e-03,-2.2547833978e-02,0.10039139296967096,0.06276445776983598,0.06834492360384219
68,000,1.0010000000e+00,2.2756834288e-03,-1.4741154355e-03,1.0006934000e+00,1.3553853331e-01,-2.2190038558e-05,7.9007323291e-05,7.9791531480e-02,6.2595764746e-01,1.8197016461e-01,1.9207218793e-01,1.0000000000e-04,1.3179984718e+00,-9.4012425067e-03,-2.2735333866e-02,0.10009689111198052,0.06263575725707791,0.06790953997866549
69,000,1.0010000000e+00,2.2504150431e-03,-1.4391992017e-03,1.0006934000e+00,1.3721000331e-01,-8.5901823105e-06,7.9606952380e-05,7.8530968614e-02,6.2617626886e-01,1.8138203018e-01,1.9244170096e-01,1.0000000000e-04,1.3131747051e+00,-9.4760569955e-03,-2.2902907429e-02,0.0998310337858402,0.062273936759923494,0.06683382530901899
