index,frame,F11,F12,F21,F22,E11,E12,E21,E22,P11,P12,P21,P22,S11,S12,S21,S22,vol_square,vol_rectangle_p,vol_rectangle_m,Psi,Psi_me,Psi_couple,len_c,len_s_r_p,len_s_r_m
002,100,1.0009721695e+00,1.6932923147e-03,-1.2439474483e-03,1.0006709536e+00,9.7341575546e-04,2.2507820127e-04,2.2507820127e-04,6.7261232850e-04,7.5508782262e-02,3.1709037103e-04,-1.6954555165e-04,1.4680854723e-01,7.5435574207e-02,6.8600431014e-05,-7.5656899337e-05,1.4671019682e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822647954e+00,-1.1905837889e-02,-2.7804541684e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
006,100,1.0010002782e+00,1.7721949015e-03,-1.3571385134e-03,1.0006930512e+00,1.0016994045e-03,2.0794425478e-04,2.0794425478e-04,6.9486170517e-04,8.5599330891e-02,7.1916059664e-05,1.0914155442e-04,1.3972565463e-01,8.5513394892e-02,-1.7535770987e-04,2.2503911242e-04,1.3962864684e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1823012926e+00,-1.1869340675e-02,-2.7761939077e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
044,100,1.0010347129e+00,1.6832871040e-03,-1.5030982172e-03,1.0007084796e+00,1.0363778284e-03,9.0432845574e-05,9.0432845574e-05,7.1014734117e-04,8.3004563424e-02,-4.2664450821e-04,-2.0413589749e-03,1.5792339221e-01,8.2921987082e-02,-6.9156939136e-04,-1.9153620890e-03,1.5781054715e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822697307e+00,-1.1900902621e-02,-2.7802732516e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
061,100,1.0010053957e+00,1.7066526272e-03,-1.2444153081e-03,1.0007151249e+00,1.0066753536e-03,2.3153163395e-04,2.3153163395e-04,7.1683690507e-04,7.8187621334e-02,3.4909781753e-04,-4.7534310231e-05,1.5141647568e-01,7.8109006177e-02,9.0775700534e-05,4.9630240934e-05,1.5130838425e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822747122e+00,-1.1895921063e-02,-2.7790750791e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
063,100,1.0010038658e+00,1.6946649639e-03,-1.2391707622e-03,1.0006862799e+00,1.0051374695e-03,2.2817249994e-04,2.2817249994e-04,6.8795137188e-04,7.7686243746e-02,2.7586636726e-04,-1.7352740213e-05,1.4808134211e-01,7.7608202048e-02,2.5064993138e-05,7.8763021194e-05,1.4797981759e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822683294e+00,-1.1902303867e-02,-2.7780203381e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
072,100,1.0010065683e+00,1.7002848811e-03,-1.2161375220e-03,1.0007119977e+00,1.0078144319e-03,2.4249646242e-04,2.4249646242e-04,7.1369665790e-04,7.8258567092e-02,3.9157984145e-04,8.3440576040e-05,1.5258121390e-01,7.8179570696e-02,1.3219955250e-04,1.7839067167e-04,1.5247281438e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822745001e+00,-1.1896133169e-02,-2.7793226824e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
073,100,1.0010460488e+00,1.6914484809e-03,-1.2055372575e-03,1.0007119977e+00,1.0473226149e-03,2.4341111066e-04,2.4341111066e-04,7.1368167255e-04,8.1008553809e-02,4.0705115705e-04,7.3314805994e-05,1.5343151645e-01,8.0923614941e-02,1.4755964361e-04,1.7074966545e-04,1.5332252905e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822767970e+00,-1.1893836263e-02,-2.7797771172e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
080,100,1.0010315857e+00,1.6797106436e-03,-1.4779845907e-03,1.0006869804e+00,1.0332099964e-03,1.0122173600e-04,1.0122173600e-04,6.8862704446e-04,8.2461758205e-02,-3.7237006045e-04,-1.9034061851e-03,1.5598917309e-01,8.2379767019e-02,-6.3355172337e-04,-1.7804270404e-03,1.5588114942e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822672332e+00,-1.1903400058e-02,-2.7799733744e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
081,100,1.0009709968e+00,1.6762669947e-03,-1.4725824413e-03,1.0006869804e+00,9.7255247490e-04,1.0215028406e-04,1.0215028406e-04,6.8862126605e-04,7.8832147235e-02,-3.6362103906e-04,-1.9085546246e-03,1.5480411713e-01,7.8758675585e-02,-6.2233011134e-04,-1.7913453628e-03,1.5469692695e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822626531e+00,-1.1907980228e-02,-2.7798420170e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
082,100,1.0010315857e+00,1.6795500250e-03,-1.4777924448e-03,1.0006803351e+00,1.0332097124e-03,1.0124239296e-04,1.0124239296e-04,6.8197699899e-04,8.2337562774e-02,-3.6949142655e-04,-1.9034875392e-03,1.5659418797e-01,8.2255699778e-02,-6.3166720150e-04,-1.7807192017e-03,1.5648679103e-01,0.6120284636500001,0.20380915638,0.18416237997,1.1822662578e+00,-1.1904375529e-02,-2.7801593624e-02,0.08955051075015102,0.06091355764465253,0.05922308161020984
