"c","Result","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,1,0,0,0.515,0
0.99859,0.99929,1,0.001,0.001,0.515,0
0.99718,0.99859,1,0.002,0.002,0.515,0
0.99577,0.99788,1,0.003,0.003,0.515,0
0.99436,0.99718,1,0.004,0.004,0.515,0
0.99296,0.99648,1,0.005,0.005,0.515,0
0.99156,0.99578,1,0.006,0.006,0.515,0
0.99016,0.99508,1,0.007,0.007,0.515,0
0.98876,0.99438,1,0.008,0.008,0.515,0
0.98736,0.99368,1,0.009,0.009,0.515,0
0.98597,0.99299,1,0.01,0.01,0.515,0
0.98458,0.99229,1,0.011,0.011,0.515,0
0.98319,0.9916,1,0.012,0.012,0.515,0
0.9818,0.9909,1,0.013,0.013,0.515,0
0.98042,0.99021,1,0.014,0.014,0.515,0
0.97903,0.98952,1,0.015,0.015,0.515,0
0.97765,0.98883,1,0.016,0.016,0.515,0
0.97627,0.98814,1,0.017,0.017,0.515,0
0.9749,0.98745,1,0.018,0.018,0.515,0
0.97352,0.98676,1,0.019,0.019,0.515,0
0.97215,0.98607,1,0.02,0.02,0.515,0
0.97078,0.98539,1,0.021,0.021,0.515,0
0.96941,0.9847,1,0.022,0.022,0.515,0
0.96804,0.98402,1,0.023,0.023,0.515,0
0.96667,0.98334,1,0.024,0.024,0.515,0
0.96531,0.98265,1,0.025,0.025,0.515,0
0.96395,0.98197,1,0.026,0.026,0.515,0
0.96259,0.98129,1,0.027,0.027,0.515,0
0.96123,0.98061,1,0.028,0.028,0.515,0
0.95987,0.97994,1,0.029,0.029,0.515,0
0.95852,0.97926,1,0.03,0.03,0.515,0
0.95713,0.97856,1,0.031,0.031,0.515,0
0.95574,0.97787,1,0.032,0.032,0.515,0
0.95435,0.97717,1,0.033,0.033,0.515,0
0.95296,0.97648,1,0.034,0.034,0.515,0
0.95158,0.97579,1,0.035,0.035,0.515,0
0.9502,0.9751,1,0.036,0.036,0.515,0
0.94883,0.97441,1,0.037,0.037,0.515,0
0.94746,0.97373,1,0.038,0.038,0.515,0
