"c","Result","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.019e-14,0.5,1,0,0.485,0,0
0.0015793,0.50079,1,0.001,0.485,0.001,0
0.0031612,0.50158,1,0.002,0.485,0.002,0
0.0047458,0.50237,1,0.003,0.485,0.003,0
0.0063329,0.50317,1,0.004,0.485,0.004,0
0.0079225,0.50396,1,0.005,0.485,0.005,0
0.0095147,0.50476,1,0.006,0.485,0.006,0
0.011109,0.50555,1,0.007,0.485,0.007,0
0.012707,0.50635,1,0.008,0.485,0.008,0
0.014306,0.50715,1,0.009,0.485,0.009,0
0.015909,0.50795,1,0.01,0.485,0.01,0
0.017513,0.50876,1,0.011,0.485,0.011,0
0.01912,0.50956,1,0.012,0.485,0.012,0
0.02073,0.51036,1,0.013,0.485,0.013,0
0.022342,0.51117,1,0.014,0.485,0.014,0
0.023956,0.51198,1,0.015,0.485,0.015,0
0.025573,0.51279,1,0.016,0.485,0.016,0
0.027192,0.5136,1,0.017,0.485,0.017,0
0.028814,0.51441,1,0.018,0.485,0.018,0
0.030438,0.51522,1,0.019,0.485,0.019,0
0.032064,0.51603,1,0.02,0.485,0.02,0
0.033693,0.51685,1,0.021,0.485,0.021,0
0.035323,0.51766,1,0.022,0.485,0.022,0
0.036957,0.51848,1,0.023,0.485,0.023,0
0.038592,0.5193,1,0.024,0.485,0.024,0
0.04023,0.52011,1,0.025,0.485,0.025,0
0.04187,0.52093,1,0.026,0.485,0.026,0
0.043512,0.52176,1,0.027,0.485,0.027,0
0.045157,0.52258,1,0.028,0.485,0.028,0
0.046803,0.5234,1,0.029,0.485,0.029,0
0.048452,0.52423,1,0.03,0.485,0.03,0
0.050019,0.52501,1,0.031,0.485,0.031,0
0.051581,0.52579,1,0.032,0.485,0.032,0
0.053144,0.52657,1,0.033,0.485,0.033,0
0.054708,0.52735,1,0.034,0.485,0.034,0
0.056273,0.52814,1,0.035,0.485,0.035,0
0.057839,0.52892,1,0.036,0.485,0.036,0
0.059405,0.5297,1,0.037,0.485,0.037,0
0.060973,0.53049,1,0.038,0.485,0.038,0
0.062541,0.53127,1,0.039,0.485,0.039,0
0.064111,0.53206,1,0.04,0.485,0.04,0
0.065681,0.53284,1,0.041,0.485,0.041,0
0.067252,0.53363,1,0.042,0.485,0.042,0
0.068824,0.53441,1,0.043,0.485,0.043,0
0.070397,0.5352,1,0.044,0.485,0.044,0
0.071971,0.53599,1,0.045,0.485,0.045,0
0.073546,0.53677,1,0.046,0.485,0.046,0
0.075121,0.53756,1,0.047,0.485,0.047,0
0.076698,0.53835,1,0.048,0.485,0.048,0
0.078275,0.53914,1,0.049,0.485,0.049,0
0.079853,0.53993,1,0.05,0.485,0.05,0
0.081432,0.54072,1,0.051,0.485,0.051,0
0.083012,0.54151,1,0.052,0.485,0.052,0
0.084592,0.5423,1,0.053,0.485,0.053,0
0.08619,0.5431,1,0.054,0.485,0.054,0
0.087805,0.5439,1,0.055,0.485,0.055,0
0.089422,0.54471,1,0.056,0.485,0.056,0
0.09104,0.54552,1,0.057,0.485,0.057,0
0.092659,0.54633,1,0.058,0.485,0.058,0
0.094281,0.54714,1,0.059,0.485,0.059,0
0.095904,0.54795,1,0.06,0.485,0.06,0
0.097528,0.54876,1,0.061,0.485,0.061,0
0.099097,0.54955,1,0.062,0.485,0.062,0
0.10063,0.55031,1,0.063,0.485,0.063,0
0.10215,0.55108,1,0.064,0.485,0.064,0
0.10368,0.55184,1,0.065,0.485,0.065,0
0.10521,0.55261,1,0.066,0.485,0.066,0
0.10674,0.55337,1,0.067,0.485,0.067,0
0.10827,0.55414,1,0.068,0.485,0.068,0
0.1098,0.5549,1,0.069,0.485,0.069,0
0.11133,0.55567,1,0.07,0.485,0.07,0
0.11287,0.55643,1,0.071,0.485,0.071,0
0.1144,0.5572,1,0.072,0.485,0.072,0
0.11593,0.55796,1,0.073,0.485,0.073,0
0.11746,0.55873,1,0.074,0.485,0.074,0
0.11899,0.5595,1,0.075,0.485,0.075,0
0.12053,0.56026,1,0.076,0.485,0.076,0
0.12206,0.56103,1,0.077,0.485,0.077,0
0.1236,0.5618,1,0.078,0.485,0.078,0
0.12513,0.56257,1,0.079,0.485,0.079,0
0.12667,0.56333,1,0.08,0.485,0.08,0
0.1282,0.5641,1,0.081,0.485,0.081,0
0.12974,0.56487,1,0.082,0.485,0.082,0
0.13127,0.56564,1,0.083,0.485,0.083,0
0.13281,0.5664,1,0.084,0.485,0.084,0
0.13434,0.56717,1,0.085,0.485,0.085,0
0.13588,0.56794,1,0.086,0.485,0.086,0
0.13742,0.56871,1,0.087,0.485,0.087,0
0.13896,0.56948,1,0.088,0.485,0.088,0
0.14049,0.57025,1,0.089,0.485,0.089,0
0.14203,0.57102,1,0.09,0.485,0.09,0
0.14357,0.57179,1,0.091,0.485,0.091,0
0.14511,0.57256,1,0.092,0.485,0.092,0
0.14665,0.57333,1,0.093,0.485,0.093,0
0.14819,0.57409,1,0.094,0.485,0.094,0
0.14963,0.57481,1,0.095,0.485,0.095,0
0.15107,0.57553,1,0.096,0.485,0.096,0
0.1525,0.57625,1,0.097,0.485,0.097,0
0.15394,0.57697,1,0.098,0.485,0.098,0
0.15538,0.57769,1,0.099,0.485,0.099,0
0.15681,0.57841,1,0.1,0.485,0.1,0
0.15825,0.57912,1,0.101,0.485,0.101,0
0.15968,0.57984,1,0.102,0.485,0.102,0
0.16112,0.58056,1,0.103,0.485,0.103,0
0.16255,0.58127,1,0.104,0.485,0.104,0
0.16398,0.58199,1,0.105,0.485,0.105,0
0.16542,0.58271,1,0.106,0.485,0.106,0
0.16685,0.58342,1,0.107,0.485,0.107,0
0.16828,0.58414,1,0.108,0.485,0.108,0
0.16971,0.58486,1,0.109,0.485,0.109,0
0.17115,0.58557,1,0.11,0.485,0.11,0
0.17258,0.58629,1,0.111,0.485,0.111,0
0.17401,0.587,1,0.112,0.485,0.112,0
0.17544,0.58772,1,0.113,0.485,0.113,0
0.17691,0.58846,1,0.114,0.485,0.114,0
0.17839,0.5892,1,0.115,0.485,0.115,0
0.17987,0.58993,1,0.116,0.485,0.116,0
0.18135,0.59067,1,0.117,0.485,0.117,0
0.18282,0.59141,1,0.118,0.485,0.118,0
0.1843,0.59215,1,0.119,0.485,0.119,0
0.18578,0.59289,1,0.12,0.485,0.12,0
0.18726,0.59363,1,0.121,0.485,0.121,0
0.18873,0.59437,1,0.122,0.485,0.122,0
0.19021,0.5951,1,0.123,0.485,0.123,0
0.19168,0.59584,1,0.124,0.485,0.124,0
0.19316,0.59658,1,0.125,0.485,0.125,0
0.19464,0.59732,1,0.126,0.485,0.126,0
0.19611,0.59806,1,0.127,0.485,0.127,0
0.19757,0.59878,1,0.128,0.485,0.128,0
0.19894,0.59947,1,0.129,0.485,0.129,0
0.20031,0.60016,1,0.13,0.485,0.13,0
0.20169,0.60084,1,0.131,0.485,0.131,0
0.20306,0.60153,1,0.132,0.485,0.132,0
0.20443,0.60221,1,0.133,0.485,0.133,0
0.2058,0.6029,1,0.134,0.485,0.134,0
0.20717,0.60358,1,0.135,0.485,0.135,0
0.20854,0.60427,1,0.136,0.485,0.136,0
0.20991,0.60495,1,0.137,0.485,0.137,0
0.21127,0.60564,1,0.138,0.485,0.138,0
0.21264,0.60632,1,0.139,0.485,0.139,0
0.21401,0.607,1,0.14,0.485,0.14,0
0.21537,0.60769,1,0.141,0.485,0.141,0
0.21674,0.60837,1,0.142,0.485,0.142,0
0.2181,0.60905,1,0.143,0.485,0.143,0
0.21946,0.60973,1,0.144,0.485,0.144,0
0.22082,0.61041,1,0.145,0.485,0.145,0
0.22219,0.61109,1,0.146,0.485,0.146,0
0.22355,0.61177,1,0.147,0.485,0.147,0
0.22491,0.61245,1,0.148,0.485,0.148,0
0.22627,0.61313,1,0.149,0.485,0.149,0
0.22763,0.61381,1,0.15,0.485,0.15,0
0.22899,0.61449,1,0.151,0.485,0.151,0
0.23034,0.61517,1,0.152,0.485,0.152,0
0.2317,0.61585,1,0.153,0.485,0.153,0
0.23306,0.61653,1,0.154,0.485,0.154,0
0.23441,0.61721,1,0.155,0.485,0.155,0
0.23577,0.61788,1,0.156,0.485,0.156,0
0.23712,0.61856,1,0.157,0.485,0.157,0
0.23847,0.61924,1,0.158,0.485,0.158,0
0.23983,0.61991,1,0.159,0.485,0.159,0
0.24118,0.62059,1,0.16,0.485,0.16,0
0.24253,0.62127,1,0.161,0.485,0.161,0
0.24388,0.62194,1,0.162,0.485,0.162,0
0.24521,0.6226,1,0.163,0.485,0.163,0
0.24646,0.62323,1,0.164,0.485,0.164,0
0.24771,0.62386,1,0.165,0.485,0.165,0
0.24896,0.62448,1,0.166,0.485,0.166,0
0.25021,0.62511,1,0.167,0.485,0.167,0
0.25146,0.62573,1,0.168,0.485,0.168,0
0.25271,0.62636,1,0.169,0.485,0.169,0
0.25396,0.62698,1,0.17,0.485,0.17,0
0.25521,0.6276,1,0.171,0.485,0.171,0
0.25645,0.62823,1,0.172,0.485,0.172,0
0.2577,0.62885,1,0.173,0.485,0.173,0
0.25894,0.62947,1,0.174,0.485,0.174,0
0.26019,0.63009,1,0.175,0.485,0.175,0
0.26143,0.63071,1,0.176,0.485,0.176,0
0.26267,0.63133,1,0.177,0.485,0.177,0
0.26391,0.63195,1,0.178,0.485,0.178,0
0.26515,0.63257,1,0.179,0.485,0.179,0
0.26639,0.6332,1,0.18,0.485,0.18,0
0.26768,0.63384,1,0.181,0.485,0.181,0
0.26896,0.63448,1,0.182,0.485,0.182,0
