"Result","c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.84198,0.68397,1,0,0,0.515,0
0.83217,0.66434,1,0.02,0.02,0.515,0
0.82296,0.64592,1,0.04,0.04,0.515,0
0.81422,0.62844,1,0.06,0.06,0.515,0
0.80595,0.6119,1,0.08,0.08,0.515,0
0.7982,0.5964,1,0.1,0.1,0.515,0
0.79094,0.58187,1,0.12,0.12,0.515,0
0.784,0.568,1,0.14,0.14,0.515,0
0.77753,0.55505,1,0.16,0.16,0.515,0
0.77159,0.54318,1,0.18,0.18,0.515,0
0.76578,0.53156,1,0.2,0.2,0.515,0
0.76048,0.52096,1,0.22,0.22,0.515,0
0.75552,0.51103,1,0.24,0.24,0.515,0
0.75094,0.50187,1,0.26,0.26,0.515,0
0.74655,0.4931,1,0.28,0.28,0.515,0
0.74256,0.48511,1,0.3,0.3,0.515,0
0.73887,0.47774,1,0.32,0.32,0.515,0
0.73552,0.47105,1,0.34,0.34,0.515,0
0.73234,0.46468,1,0.36,0.36,0.515,0
0.7295,0.45901,1,0.38,0.38,0.515,0
0.72692,0.45385,1,0.4,0.4,0.515,0
0.72468,0.44936,1,0.42,0.42,0.515,0
0.72263,0.44525,1,0.44,0.44,0.515,0
0.72088,0.44176,1,0.46,0.46,0.515,0
0.71929,0.43859,1,0.48,0.48,0.515,0
0.71795,0.43589,1,0.5,0.5,0.515,0
0.71684,0.43368,1,0.52,0.52,0.515,0
0.71597,0.43195,1,0.54,0.54,0.515,0
0.71534,0.43068,1,0.56,0.56,0.515,0
0.71488,0.42976,1,0.58,0.58,0.515,0
0.71468,0.42936,1,0.6,0.6,0.515,0
0.71454,0.42909,1,0.62,0.62,0.515,0
0.71466,0.42932,1,0.64,0.64,0.515,0
0.7149,0.42981,1,0.66,0.66,0.515,0
0.71536,0.43073,1,0.68,0.68,0.515,0
0.71587,0.43174,1,0.7,0.7,0.515,0
0.71654,0.43308,1,0.72,0.72,0.515,0
0.7173,0.43461,1,0.74,0.74,0.515,0
0.71818,0.43636,1,0.76,0.76,0.515,0
0.71909,0.43818,1,0.78,0.78,0.515,0
0.72007,0.44013,1,0.8,0.8,0.515,0
0.72107,0.44213,1,0.82,0.82,0.515,0
0.72208,0.44416,1,0.84,0.84,0.515,0
0.72306,0.44612,1,0.86,0.86,0.515,0
0.72401,0.44802,1,0.88,0.88,0.515,0
0.72485,0.44969,1,0.9,0.9,0.515,0
0.72563,0.45126,1,0.92,0.92,0.515,0
0.72627,0.45255,1,0.94,0.94,0.515,0
0.72671,0.45342,1,0.96,0.96,0.515,0
0.72703,0.45407,1,0.98,0.98,0.515,0
0.72711,0.45421,1,1,1,0.515,0
