"Result","c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.5,1.5455e-14,1,0,0.485,0,0
0.51221,0.024413,1,0.02,0.485,0.02,0
0.52437,0.048749,1,0.04,0.485,0.04,0
0.53643,0.072856,1,0.06,0.485,0.06,0
0.54816,0.096323,1,0.08,0.485,0.08,0
0.55964,0.11928,1,0.1,0.485,0.1,0
0.57072,0.14144,1,0.12,0.485,0.12,0
0.58153,0.16306,1,0.14,0.485,0.14,0
0.59196,0.18391,1,0.16,0.485,0.16,0
0.60174,0.20347,1,0.18,0.485,0.18,0
0.61154,0.22309,1,0.2,0.485,0.2,0
0.62067,0.24135,1,0.22,0.485,0.22,0
0.62952,0.25905,1,0.24,0.485,0.24,0
0.63788,0.27577,1,0.26,0.485,0.26,0
0.64612,0.29224,1,0.28,0.485,0.28,0
0.65387,0.30775,1,0.3,0.485,0.3,0
0.66132,0.32264,1,0.32,0.485,0.32,0
0.66836,0.33672,1,0.34,0.485,0.34,0
0.67529,0.35059,1,0.36,0.485,0.36,0
0.68182,0.36365,1,0.38,0.485,0.38,0
0.6881,0.3762,1,0.4,0.485,0.4,0
0.69399,0.38799,1,0.42,0.485,0.42,0
0.69973,0.39946,1,0.44,0.485,0.44,0
0.70513,0.41026,1,0.46,0.485,0.46,0
0.71037,0.42074,1,0.48,0.485,0.48,0
0.71536,0.43071,1,0.5,0.485,0.5,0
0.72009,0.44018,1,0.52,0.485,0.52,0
0.72458,0.44915,1,0.54,0.485,0.54,0
0.72881,0.45763,1,0.56,0.485,0.56,0
0.73285,0.46571,1,0.58,0.485,0.58,0
0.73663,0.47325,1,0.6,0.485,0.6,0
0.74028,0.48057,1,0.62,0.485,0.62,0
0.74367,0.48734,1,0.64,0.485,0.64,0
0.74687,0.49374,1,0.66,0.485,0.66,0
0.74982,0.49965,1,0.68,0.485,0.68,0
0.75265,0.5053,1,0.7,0.485,0.7,0
0.75527,0.51053,1,0.72,0.485,0.72,0
0.75768,0.51537,1,0.74,0.485,0.74,0
0.75989,0.51977,1,0.76,0.485,0.76,0
0.76197,0.52394,1,0.78,0.485,0.78,0
0.76386,0.52771,1,0.8,0.485,0.8,0
0.76554,0.53108,1,0.82,0.485,0.82,0
0.76706,0.53411,1,0.84,0.485,0.84,0
0.76843,0.53686,1,0.86,0.485,0.86,0
0.7696,0.53919,1,0.88,0.485,0.88,0
0.77057,0.54114,1,0.9,0.485,0.9,0
0.77142,0.54284,1,0.92,0.485,0.92,0
0.77205,0.54411,1,0.94,0.485,0.94,0
0.77249,0.54498,1,0.96,0.485,0.96,0
0.77278,0.54557,1,0.98,0.485,0.98,0
0.77284,0.54568,1,1,0.485,1,0
