"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.68501e-01,1,0.00000e+00,0.00000e+00,5.15000e-01,0.00000e+00
3.68177e-01,1,1.00000e-03,1.00000e-03,5.15000e-01,0.00000e+00
3.67842e-01,1,2.00000e-03,2.00000e-03,5.15000e-01,0.00000e+00
3.67508e-01,1,3.00000e-03,3.00000e-03,5.15000e-01,0.00000e+00
3.67175e-01,1,4.00000e-03,4.00000e-03,5.15000e-01,0.00000e+00
3.66843e-01,1,5.00000e-03,5.00000e-03,5.15000e-01,0.00000e+00
3.66512e-01,1,6.00000e-03,6.00000e-03,5.15000e-01,0.00000e+00
3.66182e-01,1,7.00000e-03,7.00000e-03,5.15000e-01,0.00000e+00
3.65852e-01,1,8.00000e-03,8.00000e-03,5.15000e-01,0.00000e+00
3.65523e-01,1,9.00000e-03,9.00000e-03,5.15000e-01,0.00000e+00
3.65195e-01,1,1.00000e-02,1.00000e-02,5.15000e-01,0.00000e+00
3.64868e-01,1,1.10000e-02,1.10000e-02,5.15000e-01,0.00000e+00
3.64541e-01,1,1.20000e-02,1.20000e-02,5.15000e-01,0.00000e+00
3.64216e-01,1,1.30000e-02,1.30000e-02,5.15000e-01,0.00000e+00
3.63891e-01,1,1.40000e-02,1.40000e-02,5.15000e-01,0.00000e+00
3.63567e-01,1,1.50000e-02,1.50000e-02,5.15000e-01,0.00000e+00
3.63243e-01,1,1.60000e-02,1.60000e-02,5.15000e-01,0.00000e+00
3.62921e-01,1,1.70000e-02,1.70000e-02,5.15000e-01,0.00000e+00
3.62599e-01,1,1.80000e-02,1.80000e-02,5.15000e-01,0.00000e+00
3.62278e-01,1,1.90000e-02,1.90000e-02,5.15000e-01,0.00000e+00
3.61957e-01,1,2.00000e-02,2.00000e-02,5.15000e-01,0.00000e+00
3.61638e-01,1,2.10000e-02,2.10000e-02,5.15000e-01,0.00000e+00
3.61319e-01,1,2.20000e-02,2.20000e-02,5.15000e-01,0.00000e+00
3.61001e-01,1,2.30000e-02,2.30000e-02,5.15000e-01,0.00000e+00
3.60683e-01,1,2.40000e-02,2.40000e-02,5.15000e-01,0.00000e+00
3.60367e-01,1,2.50000e-02,2.50000e-02,5.15000e-01,0.00000e+00
3.60051e-01,1,2.60000e-02,2.60000e-02,5.15000e-01,0.00000e+00
3.59736e-01,1,2.70000e-02,2.70000e-02,5.15000e-01,0.00000e+00
3.59421e-01,1,2.80000e-02,2.80000e-02,5.15000e-01,0.00000e+00
3.59107e-01,1,2.90000e-02,2.90000e-02,5.15000e-01,0.00000e+00
3.58794e-01,1,3.00000e-02,3.00000e-02,5.15000e-01,0.00000e+00
3.58494e-01,1,3.10000e-02,3.10000e-02,5.15000e-01,0.00000e+00
3.58195e-01,1,3.20000e-02,3.20000e-02,5.15000e-01,0.00000e+00
3.57897e-01,1,3.30000e-02,3.30000e-02,5.15000e-01,0.00000e+00
3.57599e-01,1,3.40000e-02,3.40000e-02,5.15000e-01,0.00000e+00
3.57303e-01,1,3.50000e-02,3.50000e-02,5.15000e-01,0.00000e+00
3.57007e-01,1,3.60000e-02,3.60000e-02,5.15000e-01,0.00000e+00
3.56712e-01,1,3.70000e-02,3.70000e-02,5.15000e-01,0.00000e+00
3.56418e-01,1,3.80000e-02,3.80000e-02,5.15000e-01,0.00000e+00
3.56125e-01,1,3.90000e-02,3.90000e-02,5.15000e-01,0.00000e+00
3.55833e-01,1,4.00000e-02,4.00000e-02,5.15000e-01,0.00000e+00
3.55541e-01,1,4.10000e-02,4.10000e-02,5.15000e-01,0.00000e+00
3.55250e-01,1,4.20000e-02,4.20000e-02,5.15000e-01,0.00000e+00
3.54960e-01,1,4.30000e-02,4.30000e-02,5.15000e-01,0.00000e+00
3.54670e-01,1,4.40000e-02,4.40000e-02,5.15000e-01,0.00000e+00
3.54382e-01,1,4.50000e-02,4.50000e-02,5.15000e-01,0.00000e+00
3.54094e-01,1,4.60000e-02,4.60000e-02,5.15000e-01,0.00000e+00
3.53807e-01,1,4.70000e-02,4.70000e-02,5.15000e-01,0.00000e+00
3.53521e-01,1,4.80000e-02,4.80000e-02,5.15000e-01,0.00000e+00
3.53235e-01,1,4.90000e-02,4.90000e-02,5.15000e-01,0.00000e+00
3.52950e-01,1,5.00000e-02,5.00000e-02,5.15000e-01,0.00000e+00
3.52666e-01,1,5.10000e-02,5.10000e-02,5.15000e-01,0.00000e+00
3.52383e-01,1,5.20000e-02,5.20000e-02,5.15000e-01,0.00000e+00
3.52100e-01,1,5.30000e-02,5.30000e-02,5.15000e-01,0.00000e+00
3.51811e-01,1,5.40000e-02,5.40000e-02,5.15000e-01,0.00000e+00
3.51515e-01,1,5.50000e-02,5.50000e-02,5.15000e-01,0.00000e+00
3.51220e-01,1,5.60000e-02,5.60000e-02,5.15000e-01,0.00000e+00
3.50926e-01,1,5.70000e-02,5.70000e-02,5.15000e-01,0.00000e+00
3.50633e-01,1,5.80000e-02,5.80000e-02,5.15000e-01,0.00000e+00
3.50341e-01,1,5.90000e-02,5.90000e-02,5.15000e-01,0.00000e+00
3.50049e-01,1,6.00000e-02,6.00000e-02,5.15000e-01,0.00000e+00
3.49759e-01,1,6.10000e-02,6.10000e-02,5.15000e-01,0.00000e+00
3.49474e-01,1,6.20000e-02,6.20000e-02,5.15000e-01,0.00000e+00
3.49194e-01,1,6.30000e-02,6.30000e-02,5.15000e-01,0.00000e+00
3.48915e-01,1,6.40000e-02,6.40000e-02,5.15000e-01,0.00000e+00
3.48637e-01,1,6.50000e-02,6.50000e-02,5.15000e-01,0.00000e+00
3.48359e-01,1,6.60000e-02,6.60000e-02,5.15000e-01,0.00000e+00
3.48083e-01,1,6.70000e-02,6.70000e-02,5.15000e-01,0.00000e+00
3.47807e-01,1,6.80000e-02,6.80000e-02,5.15000e-01,0.00000e+00
3.47533e-01,1,6.90000e-02,6.90000e-02,5.15000e-01,0.00000e+00
3.47259e-01,1,7.00000e-02,7.00000e-02,5.15000e-01,0.00000e+00
3.46986e-01,1,7.10000e-02,7.10000e-02,5.15000e-01,0.00000e+00
3.46714e-01,1,7.20000e-02,7.20000e-02,5.15000e-01,0.00000e+00
3.46443e-01,1,7.30000e-02,7.30000e-02,5.15000e-01,0.00000e+00
3.46173e-01,1,7.40000e-02,7.40000e-02,5.15000e-01,0.00000e+00
3.45903e-01,1,7.50000e-02,7.50000e-02,5.15000e-01,0.00000e+00
3.45635e-01,1,7.60000e-02,7.60000e-02,5.15000e-01,0.00000e+00
3.45367e-01,1,7.70000e-02,7.70000e-02,5.15000e-01,0.00000e+00
3.45100e-01,1,7.80000e-02,7.80000e-02,5.15000e-01,0.00000e+00
3.44835e-01,1,7.90000e-02,7.90000e-02,5.15000e-01,0.00000e+00
3.44570e-01,1,8.00000e-02,8.00000e-02,5.15000e-01,0.00000e+00
3.44305e-01,1,8.10000e-02,8.10000e-02,5.15000e-01,0.00000e+00
3.44042e-01,1,8.20000e-02,8.20000e-02,5.15000e-01,0.00000e+00
3.43779e-01,1,8.30000e-02,8.30000e-02,5.15000e-01,0.00000e+00
3.43518e-01,1,8.40000e-02,8.40000e-02,5.15000e-01,0.00000e+00
3.43257e-01,1,8.50000e-02,8.50000e-02,5.15000e-01,0.00000e+00
3.42997e-01,1,8.60000e-02,8.60000e-02,5.15000e-01,0.00000e+00
3.42738e-01,1,8.70000e-02,8.70000e-02,5.15000e-01,0.00000e+00
3.42479e-01,1,8.80000e-02,8.80000e-02,5.15000e-01,0.00000e+00
3.42222e-01,1,8.90000e-02,8.90000e-02,5.15000e-01,0.00000e+00
3.41965e-01,1,9.00000e-02,9.00000e-02,5.15000e-01,0.00000e+00
3.41709e-01,1,9.10000e-02,9.10000e-02,5.15000e-01,0.00000e+00
3.41454e-01,1,9.20000e-02,9.20000e-02,5.15000e-01,0.00000e+00
3.41200e-01,1,9.30000e-02,9.30000e-02,5.15000e-01,0.00000e+00
3.40946e-01,1,9.40000e-02,9.40000e-02,5.15000e-01,0.00000e+00
3.40698e-01,1,9.50000e-02,9.50000e-02,5.15000e-01,0.00000e+00
3.40452e-01,1,9.60000e-02,9.60000e-02,5.15000e-01,0.00000e+00
3.40206e-01,1,9.70000e-02,9.70000e-02,5.15000e-01,0.00000e+00
3.39961e-01,1,9.80000e-02,9.80000e-02,5.15000e-01,0.00000e+00
3.39716e-01,1,9.90000e-02,9.90000e-02,5.15000e-01,0.00000e+00
3.39473e-01,1,1.00000e-01,1.00000e-01,5.15000e-01,0.00000e+00
3.39230e-01,1,1.01000e-01,1.01000e-01,5.15000e-01,0.00000e+00
3.38988e-01,1,1.02000e-01,1.02000e-01,5.15000e-01,0.00000e+00
3.38747e-01,1,1.03000e-01,1.03000e-01,5.15000e-01,0.00000e+00
3.38507e-01,1,1.04000e-01,1.04000e-01,5.15000e-01,0.00000e+00
3.38268e-01,1,1.05000e-01,1.05000e-01,5.15000e-01,0.00000e+00
3.38029e-01,1,1.06000e-01,1.06000e-01,5.15000e-01,0.00000e+00
3.37791e-01,1,1.07000e-01,1.07000e-01,5.15000e-01,0.00000e+00
3.37554e-01,1,1.08000e-01,1.08000e-01,5.15000e-01,0.00000e+00
3.37318e-01,1,1.09000e-01,1.09000e-01,5.15000e-01,0.00000e+00
3.37083e-01,1,1.10000e-01,1.10000e-01,5.15000e-01,0.00000e+00
3.36848e-01,1,1.11000e-01,1.11000e-01,5.15000e-01,0.00000e+00
3.36614e-01,1,1.12000e-01,1.12000e-01,5.15000e-01,0.00000e+00
3.36381e-01,1,1.13000e-01,1.13000e-01,5.15000e-01,0.00000e+00
3.36139e-01,1,1.14000e-01,1.14000e-01,5.15000e-01,0.00000e+00
3.35896e-01,1,1.15000e-01,1.15000e-01,5.15000e-01,0.00000e+00
3.35655e-01,1,1.16000e-01,1.16000e-01,5.15000e-01,0.00000e+00
3.35415e-01,1,1.17000e-01,1.17000e-01,5.15000e-01,0.00000e+00
3.35175e-01,1,1.18000e-01,1.18000e-01,5.15000e-01,0.00000e+00
3.34936e-01,1,1.19000e-01,1.19000e-01,5.15000e-01,0.00000e+00
3.34698e-01,1,1.20000e-01,1.20000e-01,5.15000e-01,0.00000e+00
3.34462e-01,1,1.21000e-01,1.21000e-01,5.15000e-01,0.00000e+00
3.34225e-01,1,1.22000e-01,1.22000e-01,5.15000e-01,0.00000e+00
3.33990e-01,1,1.23000e-01,1.23000e-01,5.15000e-01,0.00000e+00
3.33756e-01,1,1.24000e-01,1.24000e-01,5.15000e-01,0.00000e+00
3.33522e-01,1,1.25000e-01,1.25000e-01,5.15000e-01,0.00000e+00
3.33290e-01,1,1.26000e-01,1.26000e-01,5.15000e-01,0.00000e+00
3.33058e-01,1,1.27000e-01,1.27000e-01,5.15000e-01,0.00000e+00
3.32828e-01,1,1.28000e-01,1.28000e-01,5.15000e-01,0.00000e+00
3.32600e-01,1,1.29000e-01,1.29000e-01,5.15000e-01,0.00000e+00
3.32373e-01,1,1.30000e-01,1.30000e-01,5.15000e-01,0.00000e+00
3.32147e-01,1,1.31000e-01,1.31000e-01,5.15000e-01,0.00000e+00
3.31922e-01,1,1.32000e-01,1.32000e-01,5.15000e-01,0.00000e+00
