"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.04978e-15,1,0.00000e+00,4.85000e-01,0.00000e+00,0.00000e+00
7.07480e-04,1,1.00000e-03,4.85000e-01,1.00000e-03,0.00000e+00
1.41524e-03,1,2.00000e-03,4.85000e-01,2.00000e-03,0.00000e+00
2.12327e-03,1,3.00000e-03,4.85000e-01,3.00000e-03,0.00000e+00
2.83157e-03,1,4.00000e-03,4.85000e-01,4.00000e-03,0.00000e+00
3.54014e-03,1,5.00000e-03,4.85000e-01,5.00000e-03,0.00000e+00
4.24899e-03,1,6.00000e-03,4.85000e-01,6.00000e-03,0.00000e+00
4.95810e-03,1,7.00000e-03,4.85000e-01,7.00000e-03,0.00000e+00
5.66748e-03,1,8.00000e-03,4.85000e-01,8.00000e-03,0.00000e+00
6.37712e-03,1,9.00000e-03,4.85000e-01,9.00000e-03,0.00000e+00
7.08703e-03,1,1.00000e-02,4.85000e-01,1.00000e-02,0.00000e+00
7.79720e-03,1,1.10000e-02,4.85000e-01,1.10000e-02,0.00000e+00
8.50763e-03,1,1.20000e-02,4.85000e-01,1.20000e-02,0.00000e+00
9.21831e-03,1,1.30000e-02,4.85000e-01,1.30000e-02,0.00000e+00
9.92926e-03,1,1.40000e-02,4.85000e-01,1.40000e-02,0.00000e+00
1.06405e-02,1,1.50000e-02,4.85000e-01,1.50000e-02,0.00000e+00
1.13519e-02,1,1.60000e-02,4.85000e-01,1.60000e-02,0.00000e+00
1.20636e-02,1,1.70000e-02,4.85000e-01,1.70000e-02,0.00000e+00
1.27756e-02,1,1.80000e-02,4.85000e-01,1.80000e-02,0.00000e+00
1.34878e-02,1,1.90000e-02,4.85000e-01,1.90000e-02,0.00000e+00
1.42002e-02,1,2.00000e-02,4.85000e-01,2.00000e-02,0.00000e+00
1.49129e-02,1,2.10000e-02,4.85000e-01,2.10000e-02,0.00000e+00
1.56259e-02,1,2.20000e-02,4.85000e-01,2.20000e-02,0.00000e+00
1.63391e-02,1,2.30000e-02,4.85000e-01,2.30000e-02,0.00000e+00
1.70525e-02,1,2.40000e-02,4.85000e-01,2.40000e-02,0.00000e+00
1.77662e-02,1,2.50000e-02,4.85000e-01,2.50000e-02,0.00000e+00
1.84801e-02,1,2.60000e-02,4.85000e-01,2.60000e-02,0.00000e+00
1.91942e-02,1,2.70000e-02,4.85000e-01,2.70000e-02,0.00000e+00
1.99086e-02,1,2.80000e-02,4.85000e-01,2.80000e-02,0.00000e+00
2.06233e-02,1,2.90000e-02,4.85000e-01,2.90000e-02,0.00000e+00
2.13381e-02,1,3.00000e-02,4.85000e-01,3.00000e-02,0.00000e+00
2.20388e-02,1,3.10000e-02,4.85000e-01,3.10000e-02,0.00000e+00
2.27383e-02,1,3.20000e-02,4.85000e-01,3.20000e-02,0.00000e+00
2.34375e-02,1,3.30000e-02,4.85000e-01,3.30000e-02,0.00000e+00
2.41365e-02,1,3.40000e-02,4.85000e-01,3.40000e-02,0.00000e+00
2.48352e-02,1,3.50000e-02,4.85000e-01,3.50000e-02,0.00000e+00
2.55336e-02,1,3.60000e-02,4.85000e-01,3.60000e-02,0.00000e+00
2.62319e-02,1,3.70000e-02,4.85000e-01,3.70000e-02,0.00000e+00
2.69298e-02,1,3.80000e-02,4.85000e-01,3.80000e-02,0.00000e+00
2.76275e-02,1,3.90000e-02,4.85000e-01,3.90000e-02,0.00000e+00
2.83250e-02,1,4.00000e-02,4.85000e-01,4.00000e-02,0.00000e+00
2.90222e-02,1,4.10000e-02,4.85000e-01,4.10000e-02,0.00000e+00
2.97191e-02,1,4.20000e-02,4.85000e-01,4.20000e-02,0.00000e+00
3.04158e-02,1,4.30000e-02,4.85000e-01,4.30000e-02,0.00000e+00
3.11123e-02,1,4.40000e-02,4.85000e-01,4.40000e-02,0.00000e+00
3.18085e-02,1,4.50000e-02,4.85000e-01,4.50000e-02,0.00000e+00
3.25045e-02,1,4.60000e-02,4.85000e-01,4.60000e-02,0.00000e+00
3.32002e-02,1,4.70000e-02,4.85000e-01,4.70000e-02,0.00000e+00
3.38957e-02,1,4.80000e-02,4.85000e-01,4.80000e-02,0.00000e+00
3.45909e-02,1,4.90000e-02,4.85000e-01,4.90000e-02,0.00000e+00
3.52860e-02,1,5.00000e-02,4.85000e-01,5.00000e-02,0.00000e+00
3.59807e-02,1,5.10000e-02,4.85000e-01,5.10000e-02,0.00000e+00
3.66753e-02,1,5.20000e-02,4.85000e-01,5.20000e-02,0.00000e+00
3.73696e-02,1,5.30000e-02,4.85000e-01,5.30000e-02,0.00000e+00
3.80695e-02,1,5.40000e-02,4.85000e-01,5.40000e-02,0.00000e+00
3.87748e-02,1,5.50000e-02,4.85000e-01,5.50000e-02,0.00000e+00
3.94801e-02,1,5.60000e-02,4.85000e-01,5.60000e-02,0.00000e+00
4.01854e-02,1,5.70000e-02,4.85000e-01,5.70000e-02,0.00000e+00
4.08908e-02,1,5.80000e-02,4.85000e-01,5.80000e-02,0.00000e+00
4.15963e-02,1,5.90000e-02,4.85000e-01,5.90000e-02,0.00000e+00
4.23019e-02,1,6.00000e-02,4.85000e-01,6.00000e-02,0.00000e+00
4.30075e-02,1,6.10000e-02,4.85000e-01,6.10000e-02,0.00000e+00
4.37014e-02,1,6.20000e-02,4.85000e-01,6.20000e-02,0.00000e+00
4.43866e-02,1,6.30000e-02,4.85000e-01,6.30000e-02,0.00000e+00
4.50715e-02,1,6.40000e-02,4.85000e-01,6.40000e-02,0.00000e+00
4.57560e-02,1,6.50000e-02,4.85000e-01,6.50000e-02,0.00000e+00
4.64402e-02,1,6.60000e-02,4.85000e-01,6.60000e-02,0.00000e+00
4.71239e-02,1,6.70000e-02,4.85000e-01,6.70000e-02,0.00000e+00
4.78073e-02,1,6.80000e-02,4.85000e-01,6.80000e-02,0.00000e+00
4.84903e-02,1,6.90000e-02,4.85000e-01,6.90000e-02,0.00000e+00
4.91729e-02,1,7.00000e-02,4.85000e-01,7.00000e-02,0.00000e+00
4.98552e-02,1,7.10000e-02,4.85000e-01,7.10000e-02,0.00000e+00
5.05371e-02,1,7.20000e-02,4.85000e-01,7.20000e-02,0.00000e+00
5.12186e-02,1,7.30000e-02,4.85000e-01,7.30000e-02,0.00000e+00
5.18997e-02,1,7.40000e-02,4.85000e-01,7.40000e-02,0.00000e+00
5.25805e-02,1,7.50000e-02,4.85000e-01,7.50000e-02,0.00000e+00
5.32610e-02,1,7.60000e-02,4.85000e-01,7.60000e-02,0.00000e+00
5.39410e-02,1,7.70000e-02,4.85000e-01,7.70000e-02,0.00000e+00
5.46207e-02,1,7.80000e-02,4.85000e-01,7.80000e-02,0.00000e+00
5.53001e-02,1,7.90000e-02,4.85000e-01,7.90000e-02,0.00000e+00
5.59791e-02,1,8.00000e-02,4.85000e-01,8.00000e-02,0.00000e+00
5.66577e-02,1,8.10000e-02,4.85000e-01,8.10000e-02,0.00000e+00
5.73360e-02,1,8.20000e-02,4.85000e-01,8.20000e-02,0.00000e+00
5.80139e-02,1,8.30000e-02,4.85000e-01,8.30000e-02,0.00000e+00
5.86915e-02,1,8.40000e-02,4.85000e-01,8.40000e-02,0.00000e+00
5.93687e-02,1,8.50000e-02,4.85000e-01,8.50000e-02,0.00000e+00
6.00456e-02,1,8.60000e-02,4.85000e-01,8.60000e-02,0.00000e+00
6.07222e-02,1,8.70000e-02,4.85000e-01,8.70000e-02,0.00000e+00
6.13984e-02,1,8.80000e-02,4.85000e-01,8.80000e-02,0.00000e+00
6.20742e-02,1,8.90000e-02,4.85000e-01,8.90000e-02,0.00000e+00
6.27497e-02,1,9.00000e-02,4.85000e-01,9.00000e-02,0.00000e+00
6.34249e-02,1,9.10000e-02,4.85000e-01,9.10000e-02,0.00000e+00
6.40998e-02,1,9.20000e-02,4.85000e-01,9.20000e-02,0.00000e+00
6.47743e-02,1,9.30000e-02,4.85000e-01,9.30000e-02,0.00000e+00
6.54485e-02,1,9.40000e-02,4.85000e-01,9.40000e-02,0.00000e+00
6.60995e-02,1,9.50000e-02,4.85000e-01,9.50000e-02,0.00000e+00
6.67497e-02,1,9.60000e-02,4.85000e-01,9.60000e-02,0.00000e+00
6.73993e-02,1,9.70000e-02,4.85000e-01,9.70000e-02,0.00000e+00
6.80483e-02,1,9.80000e-02,4.85000e-01,9.80000e-02,0.00000e+00
6.86968e-02,1,9.90000e-02,4.85000e-01,9.90000e-02,0.00000e+00
6.93446e-02,1,1.00000e-01,4.85000e-01,1.00000e-01,0.00000e+00
6.99919e-02,1,1.01000e-01,4.85000e-01,1.01000e-01,0.00000e+00
7.06386e-02,1,1.02000e-01,4.85000e-01,1.02000e-01,0.00000e+00
7.12847e-02,1,1.03000e-01,4.85000e-01,1.03000e-01,0.00000e+00
7.19302e-02,1,1.04000e-01,4.85000e-01,1.04000e-01,0.00000e+00
7.25752e-02,1,1.05000e-01,4.85000e-01,1.05000e-01,0.00000e+00
7.32196e-02,1,1.06000e-01,4.85000e-01,1.06000e-01,0.00000e+00
7.38634e-02,1,1.07000e-01,4.85000e-01,1.07000e-01,0.00000e+00
7.45067e-02,1,1.08000e-01,4.85000e-01,1.08000e-01,0.00000e+00
7.51494e-02,1,1.09000e-01,4.85000e-01,1.09000e-01,0.00000e+00
7.57916e-02,1,1.10000e-01,4.85000e-01,1.10000e-01,0.00000e+00
7.64332e-02,1,1.11000e-01,4.85000e-01,1.11000e-01,0.00000e+00
7.70742e-02,1,1.12000e-01,4.85000e-01,1.12000e-01,0.00000e+00
7.77147e-02,1,1.13000e-01,4.85000e-01,1.13000e-01,0.00000e+00
7.83695e-02,1,1.14000e-01,4.85000e-01,1.14000e-01,0.00000e+00
7.90253e-02,1,1.15000e-01,4.85000e-01,1.15000e-01,0.00000e+00
7.96805e-02,1,1.16000e-01,4.85000e-01,1.16000e-01,0.00000e+00
8.03352e-02,1,1.17000e-01,4.85000e-01,1.17000e-01,0.00000e+00
8.09895e-02,1,1.18000e-01,4.85000e-01,1.18000e-01,0.00000e+00
8.16432e-02,1,1.19000e-01,4.85000e-01,1.19000e-01,0.00000e+00
8.22964e-02,1,1.20000e-01,4.85000e-01,1.20000e-01,0.00000e+00
8.29491e-02,1,1.21000e-01,4.85000e-01,1.21000e-01,0.00000e+00
8.36014e-02,1,1.22000e-01,4.85000e-01,1.22000e-01,0.00000e+00
