time,dUx,dUy,dTnx,dTny,Fx,Fy
1,0.0333333,0,0,0.104167,-0.920359,-0.104167
2,0.0666667,0,0,0.208333,-1.80363,-0.208333
3,0.1,0,0,0.3125,-2.6518,-0.3125
4,0.133333,0,0,0.416667,-3.4669,-0.416667
5,0.166667,0,0,0.520833,-4.25096,-0.520833
6,0.2,0,0,0.625,-5.00591,-0.625
7,0.233333,0,0,0.729167,-5.73362,-0.729167
8,0.266667,0,0,0.833333,-6.43587,-0.833333
9,0.3,0,0,0.9375,-7.11433,-0.9375
10,0.333333,0,0,1.04167,-7.77059,-1.04167
11,0.366667,0,0,1.14583,-8.40612,-1.14583
12,0.4,0,0,1.25,-9.02232,-1.25
13,0.433333,0,0,1.35417,-9.6205,-1.35417
14,0.466667,0,0,1.45833,-10.2019,-1.45833
15,0.5,0,0,1.5625,-10.7676,-1.5625
16,0.533333,0,0,1.66667,-11.3187,-1.66667
17,0.566667,0,0,1.77083,-11.8562,-1.77083
18,0.6,0,0,1.875,-12.381,-1.875
19,0.633333,0,0,1.97917,-12.8939,-1.97917
20,0.666667,0,0,2.08333,-13.3958,-2.08333
21,0.7,0,0,2.1875,-13.8874,-2.1875
22,0.733333,0,0,2.29167,-14.3694,-2.29167
23,0.766667,0,0,2.39583,-14.8424,-2.39583
24,0.8,0,0,2.5,-15.3071,-2.5
25,0.833333,0,0,2.60417,-15.7638,-2.60417
26,0.866667,0,0,2.70833,-16.2133,-2.70833
27,0.9,0,0,2.8125,-16.6559,-2.8125
28,0.933333,0,0,2.91667,-17.0921,-2.91667
29,0.966667,0,0,3.02083,-17.5223,-3.02083
30,1,0,0,3.125,-17.9468,-3.125
